Ticker,Max_Drawdown,Monthly_Hit_Rate,Upside_Capture,Downside_Capture,Down_Month_Hit_Rate,Worst_Month_Hit_Rate,Sectors,Industry Groups,Domicile Country,Workforce Size,Annual Revenue,Structure
SJM,-0.36658371353518554,0.45,0.13709777258259334,0.12107783197797987,0.6,1.0,Consumer Staples,Consumer Staples Distribution & Retail,United States,"5,000 - 9,999 employees","$5,000,000,001 - $10,000,000,000",Public
ACM,-0.2904502351974908,0.5333333333333333,1.1582398082445153,1.1076814595331286,0.55,0.6666666666666666,Industrials,Capital Goods,United States,"50,000 - 100,000 employees","$10,000,000,001 - $25,000,000,000",Public
JLL,-0.5554381105117373,0.48333333333333334,1.6305087864356749,1.5828696671815614,0.25,0.0,Real Estate,Real Estate Management & Development,United States,"Over 100,000 employees","$10,000,000,001 - $25,000,000,000",Public
AIZ,-0.4463859765906697,0.45,0.7010627384578867,0.5910076718346275,0.5,1.0,Financials,Insurance,United States,"10,000 - 14,999 employees","$10,000,000,001 - $25,000,000,000",Public
LECO,-0.3428752928097828,0.5166666666666667,1.1769490452130964,1.097537462846674,0.45,0.6666666666666666,Industrials,Capital Goods,United States,"10,000 - 14,999 employees","$1,000,000,001 - $5,000,000,000",Public
BG,-0.4149180038793847,0.4666666666666667,0.7050721549137687,0.6376355304865263,0.5,0.3333333333333333,Consumer Staples,"Food, Beverage & Tobacco",United States,"25,000 - 49,999 employees","$50,000,000,001 - $75,000,000,000",Public
MGA,-0.6021728861596595,0.45,1.3221912019772484,1.461548444669506,0.2,0.3333333333333333,Consumer Discretionary,Automobiles & Components,Canada,"Over 100,000 employees","$25,000,000,001 - $50,000,000,000",Public
SW,-0.45429362880886387,0.5,0.3489885880707521,0.32787233787563363,0.75,1.0,Consumer Discretionary,Consumer Services,France,"Over 100,000 employees","$25,000,000,001 - $50,000,000,000",Public
AES,-0.634319526627219,0.4666666666666667,1.3016393554536068,1.4883778882388894,0.45,0.3333333333333333,Utilities,Utilities,United States,"5,000 - 9,999 employees","$10,000,000,001 - $25,000,000,000",Public
G,-0.41309923061747794,0.48333333333333334,0.9426098699577247,0.9865885795135144,0.5,1.0,Industrials,Commercial & Professional Services,United States,"Over 100,000 employees","$1,000,000,001 - $5,000,000,000",Public
INGR,-0.2995333333333336,0.45,0.6237426499792591,0.5615211287186905,0.5,1.0,Consumer Staples,"Food, Beverage & Tobacco",United States,"10,000 - 14,999 employees","$5,000,000,001 - $10,000,000,000",Public
NVT,-0.4668096770349182,0.6166666666666667,1.7052542613476953,1.4688796926222207,0.4,0.6666666666666666,Industrials,Capital Goods,United States,"10,000 - 14,999 employees","$1,000,000,001 - $5,000,000,000",Public
CemexCPO,-0.34475388260068357,0.6166666666666667,0.7735966512314774,0.31554753528660506,0.65,1.0,,,,,,
