Threshold,N_Months,Avg_BM_Return_Pct,Avg_Excess_Pct,Hit_Rate_Pct,Avg_Breadth
Bottom 5%,3,-8.701013629111827,1.386309122870706,59.292035398230084,67.0
Bottom 10%,6,-6.561877091867836,0.8237272363467336,55.604719764011804,62.833333333333336
Bottom 25%,15,-4.546133441555034,0.22610976227869437,50.560471976401175,57.13333333333333
